# t [s], p1 [Pa], p2 [Pa], mobA [kg], immA [kg], dissA [kg], sealA [kg], mobB [kg], immB [kg], dissB [kg], sealB [kg], M_C [m], sealTot [kg], boundTot [kg]
5.534609904e9, 4.115185230408235e7, 3.527244517913497e7, 3.291912436277552e7, 184259.82904153643, 1.9636466989361208e6, 114436.10272117979, 1.4832515671446156e6, 103735.1403513324, 1.233523217698087e6, 7.5537783487845305, NaN, 286140.2235126836, 3.905914580246552
5.566166856e9, 4.114925441619074e7, 3.526965141634272e7, 3.2966549356486373e7, 182625.3271635144, 1.965774371504069e6, 114434.76723046327, 1.4806603826959806e6, 103028.14523556233, 1.236212220061572e6, 7.587030378877127, NaN, 286125.2221493447, 3.9059274684687773
5.597723808e9, 4.114669307365574e7, 3.526689977837976e7, 3.301358424579527e7, 180980.30962390837, 1.9679720155176143e6, 114433.42957709362, 1.4781517937542181e6, 102176.2108473339, 1.238888778100578e6, 7.6188958458691625, NaN, 286110.19475610205, 3.9059399374018264
5.62928076e9, 4.114416083803536e7, 3.526418193923804e7, 3.3060209675404456e7, 179324.4742838427, 1.9702381050140504e6, 114432.08631018647, 1.475722917130023e6, 101185.9958243359, 1.241551941587348e6, 7.649170779088826, NaN, 286095.7493547959, 3.9059519747758498
5.660837712e9, 4.114164510543874e7, 3.52614842865582e7, 3.3106300278940745e7, 177657.49866710277, 1.9726777383403133e6, 114430.73177872875, 1.473370864552594e6, 100063.44486025507, 1.244200497229538e6, 7.6774417893804845, NaN, 286081.65955048334, 3.905963555656076
5.692394664e9, 4.113913460804229e7, 3.5258795475227326e7, 3.3151766695270453e7, 175979.25474562187, 1.9753860544592973e6, 114429.36179666508, 1.471092768788062e6, 98814.21181222751, 1.2468338449559654e6, 7.703441803621306, NaN, 286068.55901967024, 3.9059746770225128
5.723951616e9, 4.1136636038308844e7, 3.525612398225484e7, 3.3196589501868453e7, 174290.5768273105, 1.978469152405531e6, 114427.9808790021, 1.4688858782982184e6, 97444.3033447407, 1.2494537816715324e6, 7.727711260839634, NaN, 286055.69781580276, 3.9059854054312226
5.747519808e9, 4.113414626381158e7, 3.525346539894901e7, 3.324044628377281e7, 172591.47130763557, 1.9822491241534925e6, 114426.58633597646, 1.4667475493833756e6, 95958.72967260506, 1.2520602671021447e6, 7.75011225311139, NaN, 286042.7812701947, 3.905995708149235
5.771088e9, 4.113227709335042e7, 3.525147061745163e7, 3.3272005378666017e7, 171316.3442304551, 1.9861139090227643e6, 114425.52912165943, 1.4651875771667033e6, 94786.21327855479, 1.253997786270229e6, 7.765148001461194, NaN, 286033.0343458682, 3.9060030938717767
5.802644952e9, 4.113038295131836e7, 3.524945167584007e7, 3.330214945406349e7, 170034.91432782813, 1.991262638240991e6, 114424.45077065052, 1.4636634324725405e6, 93552.13150703462, 1.2559249594542964e6, 7.777956041492333, NaN, 286023.1541247725, 3.9060101539964203
5.834201904e9, 4.112779483991264e7, 3.5246700441369504e7, 3.334009882660227e7, 169647.18748328506, 1.998961414670483e6, 114422.97186360254, 1.4616841475410345e6, 91793.70990909553, 1.2584876824804111e6, 7.791184074700821, NaN, 286009.7308482222, 3.906019114797453
5.865758856e9, 4.1125230236771435e7, 3.524398200186026e7, 3.3377668376661167e7, 174048.28467973767, 2.0017507890866774e6, 114421.50010317749, 1.4597640309535929e6, 89936.6887661345, 1.2610433662581262e6, 7.804070889099446, NaN, 285997.2926494833, 3.90602794664332
5.897315808e9, 4.112268672541142e7, 3.5241288830957256e7, 3.3414275759338174e7, 178987.29571165453, 2.0045994599257295e6, 114420.0217529464, 1.457900869068795e6, 87984.1831019056, 1.2635904970746115e6, 7.815952307311647, NaN, 285984.86309227353, 3.9060363641103533
5.92887276e9, 4.1120166942973174e7, 3.5238626873299584e7, 3.3449996986956123e7, 184406.61332188017, 2.0075071150898046e6, 114418.7586801552, 1.4560923960815363e6, 85939.40603760716, 1.266128401356302e6, 7.82626330645918, NaN, 285972.61255203217, 3.9060443755090866
5.960429712e9, 4.111768860794859e7, 3.5236010652198136e7, 3.348487547916322e7, 190794.4461042917, 2.0099361457054608e6, 114417.50312540933, 1.454336669822341e6, 83806.5811649427, 1.268660189685348e6, 7.835873149040351, NaN, 285960.4248723191, 3.906052089922913
5.991986664e9, 4.111523208691391e7, 3.5233414377788e7, 3.3518903230082627e7, 197788.70519393412, 2.012188155538108e6, 114416.23772049208, 1.4526317028316467e6, 81588.516266552, 1.2711852863190817e6, 7.8444195075900325, NaN, 285948.21043321094, 3.906059417218101
6.023543616e9, 4.111279436664136e7, 3.52308441521403e7, 3.3552130107187487e7, 205085.4643995052, 2.0145127625074422e6, 114414.95810314792, 1.4509755332380864e6, 79287.81215094858, 1.2737030484504774e6, 7.851343862813503, NaN, 285935.9441572484, 3.906066352276529
6.047111808e9, 4.1110561832998656e7, 3.5228578853075586e7, 3.363855655693407e7, 158695.69578214214, 2.016910138868221e6, 114413.65274611382, 1.4493652643245505e6, 76905.84884643345, 1.2762081818441201e6, 7.852935953656884, NaN, 285923.60814077297, 3.906073111897643
6.07068e9, 4.110897704175116e7, 3.522695436093872e7, 3.366898766859047e7, 157884.9274522927, 2.0187451218904098e6, 114412.66107731477, 1.4481874444491493e6, 75082.52924944335, 1.2780720272526848e6, 7.851151327051968, NaN, 285914.5873081065, 3.90607801990153
